Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C2, C4",0805,5,22uF,C45783
"C3, C6, C7, C8, C9",0805,5,220nf,C5378
CN1,650949-5 RA MALE,1,PDS_LB_MALE,C3652939
D1,D_SOD-323_HandSoldering,1,D_Schottky,C191023
D2,0805,1,RED,C84256
D3,0805,1,GRN,C2297
F1,1210,1,1.1A 6V,C2649912
J2,USB_A_Horizontal_Generic,1,USB_A,C720525
JP1,PinHeader_1x02_P2.54mm_Vertical,1,SLOT,N/A
R1,0805,1,1K,C17513
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R21, R22, R23, R24, R3, R4, R5, R6, R7, R8, R9",0805,20,200,C17540
"R19, R2, R20",0805,3,4.7K,C17673
TP1,TestPoint-2 RRect 1.5mmX2mm,1,USB_DATA,N/A
"U1, U4",SOIC-20W_7.5x12.8mm_P1.27mm,2,74LV*245,C571201
U2,SOT-223-3_TabPin2,1,1117-3.3,C6186
U3,RPi_Pico_SMD,1,RPI Pico W,N/A
U5,DIP-24_W7.62mm_Socket,1,ATF22V10,C146581
"U6, U7",SOIC-20W_7.5x12.8mm_P1.27mm,2,74LV*541,C2652110
