Designator,Mid X,Mid Y,Rotation,Layer
C1,109.2,-109.95,90.0,top
C14,170.55,-104.4,180.0,top
C15,170.55,-102.1,180.0,top
C2,164.0,-111.65,270.0,top
C3,167.3,-111.65,90.0,top
C4,89.9,-108.2,270.0,top
C6,109.2,-113.55,270.0,top
C7,145.035,-111.765,90.0,top
C8,92.1,-108.2,270.0,top
C9,162.0,-111.65,270.0,top
CN1,142.73,-128.24,270.0,top
D1,90.3,-117.5,0.0,top
D2,81.625,-72.3,180.0,top
D3,85.475,-72.3,0.0,top
F1,90.35,-113.4375,90.0,top
J2,84.9,-103.5,270.0,top
JP1,192.86,-99.6,90.0,top
R1,128.1,-78.9,270.0,top
R10,127.1,-104.7,0.0,top
R11,98.806,-100.46,270.0,top
R12,101.346,-100.476,270.0,top
R13,106.426,-100.4,270.0,top
R14,108.966,-100.46,270.0,top
R15,111.506,-100.46,270.0,top
R16,114.0,-100.4,270.0,top
R17,119.126,-100.4,270.0,top
R18,121.666,-100.4,270.0,top
R19,130.1,-78.9,270.0,top
R2,187.66,-99.7,0.0,top
R20,132.0,-78.9,90.0,top
R21,126.0,-91.8,90.0,top
R22,126.0,-87.5,90.0,top
R23,126.0,-83.2,90.0,top
R24,126.0,-78.9,90.0,top
R3,96.266,-100.444,270.0,top
R4,93.726,-100.46,270.0,top
R5,91.3,-100.466797,270.0,top
R6,88.877042,-100.472513,270.0,top
R7,127.1,-111.3,0.0,top
R8,127.1,-109.1,0.0,top
R9,127.1,-106.9,0.0,top
TP1,73.925,-85.225,90.0,bottom
U1,137.035,-111.665,270.0,top
U2,177.95,-101.9,0.0,top
U3,97.5,-85.344,90.0,top
U4,154.0,-111.6348,270.0,top
U5,170.4,-115.5,90.0,top
U6,117.0,-111.75,90.0,top
U7,100.0,-111.75,90.0,top
